,id,link,date,price,bedrooms,bathrooms,garages,floor size,address,description,location
0,0,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/106698401?plId=486451&plt=2,2019_11_20,10500000.0,,,,600.0,,Commercial Property in Cape Town City Centre,Cape Town City Centre
1,1,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/107606182?plId=487290&plt=3,2019_11_20,2395000.0,1.0,1.0,1.0,64.0,,1 Bedroom Apartment in Cape Town City Centre,Cape Town City Centre
2,2,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/107988713?plId=486845&plt=3,2019_11_20,2850000.0,1.0,1.0,,83.0,,1 Bedroom Apartment in Cape Town City Centre,Cape Town City Centre
3,3,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/107249721?plId=484397&plt=3,2019_11_20,2895000.0,2.0,2.0,1.0,78.0,,2 Bedroom Apartment in Cape Town City Centre,Cape Town City Centre
4,4,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/108149353?plId=484032&plt=3,2019_11_20,4500000.0,2.0,2.0,,142.0,,2 Bedroom Apartment in Cape Town City Centre,Cape Town City Centre
5,5,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/108110920?plId=483790&plt=3,2019_11_20,2350000.0,1.0,1.0,1.0,72.0,,1 Bedroom Apartment in Cape Town City Centre,Cape Town City Centre
6,6,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/107510710?plId=483264&plt=3,2019_11_20,1195000.0,,1.0,,38.0,,Apartment For Sale in Cape Town City Centre,Cape Town City Centre
7,7,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/107795303?plId=483241&plt=3,2019_11_20,1868500.0,,1.0,,33.0,,Apartment For Sale in Cape Town City Centre,Cape Town City Centre
8,8,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/106791205?plId=483230&plt=3,2019_11_20,1700000.0,1.0,1.0,,52.0,,1 Bedroom Apartment in Cape Town City Centre,Cape Town City Centre
9,9,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/107483986?plId=483221&plt=3,2019_11_20,2400000.0,1.0,1.0,,43.0,,1 Bedroom Apartment in Cape Town City Centre,Cape Town City Centre
10,10,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/107501187?plId=483053&plt=3,2019_11_20,1164000.0,,1.0,,24.0,,Apartment For Sale in Cape Town City Centre,Cape Town City Centre
11,11,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/107339794?plId=482966&plt=3,2019_11_20,1649995.0,,1.0,,49.0,,Apartment For Sale in Cape Town City Centre,Cape Town City Centre
12,12,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/108148766?plId=483859&plt=2,2019_11_20,2950000.0,1.0,1.0,,77.0,,1 Bedroom Apartment in Cape Town City Centre,Cape Town City Centre
13,13,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/107514709?plId=478673&plt=2,2019_11_20,4500000.0,,,,190.0,,Commercial Property in Cape Town City Centre,Cape Town City Centre
